user_id,stake_amount,username
37,2773.4300000000003,user_0037
9,2737.17,user_0009
104,2464.64,user_0104
107,2411.8500000000004,user_0107
111,2237.82,user_0111
60,2169.97,user_0060
12,2107.5099999999998,user_0012
105,2070.92,user_0105
42,1954.29,user_0042
116,1852.25,user_0116
100,1820.1100000000001,user_0100
36,1777.6599999999999,user_0036
86,1765.3899999999999,user_0086
10,1729.9,user_0010
40,1720.09,user_0040
30,1665.5,user_0030
74,1574.6399999999999,user_0074
110,1565.55,user_0110
59,1515.79,user_0059
92,1502.02,user_0092
50,1467.46,user_0050
76,1453.65,user_0076
4,1449.74,user_0004
112,1439.81,user_0112
5,1413.5199999999998,user_0005
8,1411.6100000000001,user_0008
3,1409.3600000000001,user_0003
45,1390.57,user_0045
87,1382.47,user_0087
82,1352.17,user_0082
47,1340.3899999999999,user_0047
33,1320.77,user_0033
115,1294.83,user_0115
29,1286.49,user_0029
79,1271.87,user_0079
63,1247.53,user_0063
32,1201.22,user_0032
15,1160.71,user_0015
113,1159.7,user_0113
57,1156.76,user_0057
71,1122.65,user_0071
35,1112.56,user_0035
53,1099.42,user_0053
34,1093.94,user_0034
102,1073.1399999999999,user_0102
93,1058.46,user_0093
16,1055.88,user_0016
68,1049.0,user_0068
90,1029.92,user_0090
75,996.28,user_0075
14,974.01,user_0014
43,968.8299999999999,user_0043
6,960.26,user_0006
103,960.19,user_0103
38,957.57,user_0038
65,953.1700000000001,user_0065
118,942.52,user_0118
17,942.52,user_0017
80,920.13,user_0080
61,918.22,user_0061
1,918.1099999999999,user_0001
22,890.36,user_0022
108,880.94,user_0108
109,879.15,user_0109
94,848.06,user_0094
120,846.4,user_0120
64,833.79,user_0064
24,776.0799999999999,user_0024
28,750.1800000000001,user_0028
41,749.8399999999999,user_0041
81,744.0,user_0081
89,733.09,user_0089
52,730.89,user_0052
96,707.52,user_0096
91,692.69,user_0091
99,684.9200000000001,user_0099
56,673.61,user_0056
85,661.52,user_0085
11,654.14,user_0011
25,653.53,user_0025
48,650.2,user_0048
117,625.3299999999999,user_0117
98,622.12,user_0098
66,621.76,user_0066
21,614.72,user_0021
13,591.06,user_0013
77,567.75,user_0077
44,544.12,user_0044
70,539.76,user_0070
54,533.01,user_0054
72,517.41,user_0072
101,504.67,user_0101
58,483.31999999999994,user_0058
20,446.94,user_0020
31,445.48,user_0031
114,423.6,user_0114
55,422.38,user_0055
7,409.79,user_0007
97,387.0,user_0097
39,371.95,user_0039
51,371.95,user_0051
26,370.57000000000005,user_0026
2,363.09,user_0002
106,362.89,user_0106
23,359.2,user_0023
49,335.98,user_0049
84,331.05,user_0084
78,320.65,user_0078
18,315.6,user_0018
83,310.8,user_0083
95,269.66999999999996,user_0095
19,250.2,user_0019
88,233.01,user_0088
62,185.48,user_0062
119,146.04,user_0119
69,124.91,user_0069
27,121.19,user_0027
46,92.64,user_0046
